agency_code	scope	region_key	full_name	agency_type
5080000	sgg	47190	경상북도 구미시	기초자치단체
5090000	sgg	47210	경상북도 영주시	기초자치단체
5100000	sgg	47230	경상북도 영천시	기초자치단체
5110000	sgg	47250	경상북도 상주시	기초자치단체
5120000	sgg	47280	경상북도 문경시	기초자치단체
5130000	sgg	47290	경상북도 경산시	기초자치단체
5141000	sgg	27720	대구광역시 군위군	기초자치단체
5150000	sgg	47730	경상북도 의성군	기초자치단체
5160000	sgg	47750	경상북도 청송군	기초자치단체
5170000	sgg	47760	경상북도 영양군	기초자치단체
5180000	sgg	47770	경상북도 영덕군	기초자치단체
5190000	sgg	47820	경상북도 청도군	기초자치단체
5200000	sgg	47830	경상북도 고령군	기초자치단체
5210000	sgg	47840	경상북도 성주군	기초자치단체
5220000	sgg	47850	경상북도 칠곡군	기초자치단체
5230000	sgg	47900	경상북도 예천군	기초자치단체
5240000	sgg	47920	경상북도 봉화군	기초자치단체
5250000	sgg	47930	경상북도 울진군	기초자치단체
5260000	sgg	47940	경상북도 울릉군	기초자치단체
5270000	sgg	48120	경상남도 창원시	기초자치단체
5310000	sgg	48170	경상남도 진주시	기초자치단체
5330000	sgg	48220	경상남도 통영시	기초자치단체
5340000	sgg	48240	경상남도 사천시	기초자치단체
5350000	sgg	48250	경상남도 김해시	기초자치단체
5360000	sgg	48270	경상남도 밀양시	기초자치단체
5370000	sgg	48310	경상남도 거제시	기초자치단체
5380000	sgg	48330	경상남도 양산시	기초자치단체
5390000	sgg	48720	경상남도 의령군	기초자치단체
5400000	sgg	48730	경상남도 함안군	기초자치단체
5410000	sgg	48740	경상남도 창녕군	기초자치단체
5420000	sgg	48820	경상남도 고성군	기초자치단체
5430000	sgg	48840	경상남도 남해군	기초자치단체
5440000	sgg	48850	경상남도 하동군	기초자치단체
5450000	sgg	48860	경상남도 산청군	기초자치단체
5460000	sgg	48870	경상남도 함양군	기초자치단체
5470000	sgg	48880	경상남도 거창군	기초자치단체
5480000	sgg	48890	경상남도 합천군	기초자치단체
5530000	sgg	41590	경기도 화성시	기초자치단체
5540000	sgg	41610	경기도 광주시	기초자치단체
5570000	sgg	43745	충청북도 증평군	기초자치단체
5580000	sgg	44250	충청남도 계룡시	기초자치단체
5590000	sgg	41630	경기도 양주시	기초자치단체
5600000	sgg	41650	경기도 포천시	기초자치단체
5670000	sgg	48120	경상남도 창원시	기초자치단체
5680000	sgg	44270	충청남도 당진시	기초자치단체
5690000	sido	세종	세종특별자치시	광역자치단체
5700000	sgg	41670	경기도 여주시	기초자치단체
5710000	sgg	43110	충청북도 청주시	기초자치단체
6110000	sido	서울	서울특별시	광역자치단체
6260000	sido	부산	부산광역시	광역자치단체
6270000	sido	대구	대구광역시	광역자치단체
6280000	sido	인천	인천광역시	광역자치단체
6290000	sido	광주	광주광역시	광역자치단체
6300000	sido	대전	대전광역시	광역자치단체
6310000	sido	울산	울산광역시	광역자치단체
6410000	sido	경기	경기도	광역자치단체
6420000	sido	강원	강원도	광역자치단체
6430000	sido	충북	충청북도	광역자치단체
6440000	sido	충남	충청남도	광역자치단체
6450000	sido	전북	전라북도	광역자치단체
6460000	sido	전남	전라남도	광역자치단체
6470000	sido	경북	경상북도	광역자치단체
6480000	sido	경남	경상남도	광역자치단체
6500000	sido	제주	제주특별자치도	광역자치단체
6530000	sido	강원	강원특별자치도	광역자치단체
6540000	sido	전북	전북특별자치도	광역자치단체
